1qfsdf,واحد
2qfsdf,إثنان
3qfsdf,ثلاثة
4qfsdf,أربع
5qfsdf,خمس
6qfsdf,ست
7qfsdf,سبع
8qfsdf,ثمان
9qfsdf,تسع
10qfsdf,عَشَر
11qfsdf,أحَدَ عَشَر
12qfsdf,إثنا عَشَر
13qfsdf,ثلاثة عَشَر
14qfsdf,أربَعة عَشَر
15qfsdf,خَمْسة عَشَر
16qfsdf,سِتّة عَشَر
17qfsdf,سَبْعة عَشَر
18qfsdf,ثَمانية عَشَر
19qfsdf,تِسْعة عَشَر
%,نسبه مئويه
1 application,تطبيق واحد
1 application,تطبيق واحد
1 application 2 fois/jour pd 10 jours,تطبيق واحد مرتين في اليوم لمدة 10 أيام
1 application au massage leger 2 fois/jour,تطبيق واحد على التدليك الخفيف مرتين في اليوم
1 application au massage leger 3 fois/jour,تطبيق واحد على التدليك الخفيف 3 مرات / يوم
1 application deux fois/jour,تطبيق واحد مرتين في اليوم
1 application le soir 1 jour/2,تطبيق واحد في المساء 1 يوم / 2
1 application matin et soir,تطبيق الصباح والمساء
1 cac,ملعقة شاي
1 cac 3 fois/jour,ملعقة شاي 3 مرات / يوم
1 cas,ملعقة طعام
1 cas 3 fois/jour,ملعقة طعام 3 مرات / يوم
1 cp,حبة واحدة
1 cp 3 fois par jour,حبة واحدة 3 مرات / يوم
1 cp 3 fois/jour,حبة واحدة 3 مرات / يوم
1 cp 3 x/jour,حبة واحدة 3 مرات / يوم
1 cuillere a cafe,ملعقة شاي
1 cuillere a cafe 3 fois/jour,ملعقة شاي 3 مرات / يوم
1 cuillere a soupe,ملعقة طعام
1 cuillere a soupe 3 fois/jour,ملعقة طعام 3 مرات / يوم
1 fois,مرة واحدة
1 gel,كبسولة واحدة
1 gel 3 x/j,كبسولة واحدة 3 مرات / يوم
1 gelule,كبسولة واحدة
1 gelule 3 x/jour,كبسولة واحدة 3 مرات / يوم
1 IDR,تفاعل داخل الجلد
1 injection IM,حقنة عضلية واحدة
1 injection IM 3 fois/j pd 10 j,حقنة عضلية واحدة 3 مرات في اليوم لمدة عشرة أيام
1 injection IM profonde unique,حقنة واحدة عميقة داخل العضلات
1 injection IM profonde unique,حقنة واحدة عميقة داخل العضلات
1 injection IM unique,حقنة واحدة داخل العضلات
1 injection IM unique,حقنة واحدة داخل العضلات
1 injection Intra musculaire,حقنة عضلية واحدة
1 injection Intra musculaire 3 fois/j,حقنة عضلية واحدة 3 مرات في اليوم
1 injection Intra veineuse lente chaque 4 heures,حقن بطيئة في الوريد كل 4 ساعات
1 injection Intra veineuse lente chaque 6 heures,حقن بطيئة في الوريد كل 6 ساعات
1 injection intra-dermo-reaction,تفاعل داخل الجلد
1 injection s/c,حقنة تحت الجلد
1 injection sous-cutanee,حقنة تحت الجلد
1 perfusion,حقن
1 perfusion du Serum glucose en 4 heures,4 ساعات من حقن مصل الجلوكوز
1 perfusion du Serum glucose en 6 heures,6 ساعات من حقن مصل الجلوكوز
1 perfusion du Serum sale,ضخ المصل المالح
1 suppo,تحميلة واحدة
1 suppo,تحميلة واحدة
1 suppo 3 fois/jour,تحميلة واحدة 3 مرات / يوم
1 suppo chaque 4 heures,تحميلة واحدة كل 4 ساعات
1 suppo chaque 6 heures,تحميلة واحدة كل 6 ساعات
1 suppo le soir au coucher,تحميلة واحدة في المساء في وقت النوم
1-1-1,قرص واحد 3 مرات / يوم
1-1-1,قرص واحد 3 مرات / يوم
